iter	Logloss
0	0.5920222482
1	0.5156332681
2	0.4544023429
3	0.3984168245
4	0.3648056142
5	0.337311637
6	0.3177564759
7	0.3025987467
8	0.2872731786
9	0.274434368
10	0.2644180504
11	0.2538759505
12	0.2419474901
13	0.2337103363
14	0.2278416786
15	0.2237812116
16	0.2165607158
17	0.2138408246
18	0.2107642807
19	0.2069971697
20	0.2040340995
21	0.2019628064
22	0.1998880561
23	0.1981001118
24	0.19599061
25	0.1932900884
26	0.1913173499
27	0.1889448883
28	0.1856448466
29	0.1837959522
30	0.1827771953
31	0.1813910043
32	0.1796956256
33	0.1765927745
34	0.1759442096
35	0.1750046992
36	0.1738805994
37	0.1725136464
38	0.1714706455
39	0.1709033705
40	0.169821294
41	0.1685170228
42	0.1672362372
43	0.1665397878
44	0.1657851099
45	0.1636098514
46	0.16254885
47	0.1620488789
48	0.1609722559
49	0.1594095204
50	0.1588385776
51	0.1578308533
52	0.1567066345
53	0.1562488792
54	0.1555535785
55	0.1534725975
56	0.1528630249
57	0.1523953346
58	0.151729604
59	0.1512938398
60	0.150837759
61	0.1503232145
62	0.1498598083
63	0.1492430098
64	0.1478110777
65	0.1470536723
66	0.1461226094
67	0.145570989
68	0.1446130278
69	0.1428617745
70	0.1421059522
71	0.1412190728
72	0.1407289375
73	0.1401596654
74	0.1392487948
75	0.1387145997
76	0.1377924644
77	0.1373476502
78	0.1367382364
79	0.135976076
80	0.1321662148
81	0.1312663525
82	0.1307270021
83	0.1290092225
84	0.1284248864
85	0.1274434649
86	0.1265250049
87	0.1233497045
88	0.1224199964
89	0.1219475115
90	0.1205621015
91	0.1193871792
92	0.1185053569
93	0.1180214417
94	0.1176085423
95	0.1172165326
96	0.1166796824
97	0.1157676746
98	0.1153644553
99	0.1147609717
