iter	Passed	Remaining
0	42	4216
1	90	4415
2	142	4616
3	176	4245
4	229	4362
5	278	4370
6	327	4355
7	379	4359
8	433	4383
9	481	4335
10	529	4285
11	582	4270
12	638	4271
13	687	4226
14	742	4206
15	798	4193
16	853	4169
17	907	4132
18	963	4109
19	1017	4071
20	1075	4047
21	1136	4029
22	1206	4038
23	1263	4000
24	1319	3957
25	1378	3922
26	1435	3880
27	1488	3827
28	1539	3768
29	1590	3711
30	1643	3658
31	1699	3611
32	1757	3567
33	1811	3515
34	1867	3468
35	1921	3416
36	1987	3383
37	2043	3334
38	2107	3295
39	2141	3212
40	2202	3170
41	2258	3118
42	2314	3067
43	2379	3028
44	2440	2982
45	2492	2925
46	2545	2870
47	2601	2818
48	2655	2763
49	2709	2709
50	2765	2657
51	2820	2603
52	2876	2550
53	2931	2496
54	2984	2441
55	3039	2388
56	3099	2338
57	3157	2286
58	3211	2231
59	3265	2177
60	3323	2125
61	3380	2071
62	3433	2016
63	3492	1964
64	3550	1911
65	3607	1858
66	3661	1803
67	3717	1749
68	3776	1696
69	3838	1644
70	3898	1592
71	3954	1537
72	4009	1483
73	4067	1429
74	4129	1376
75	4182	1320
76	4239	1266
77	4294	1211
78	4350	1156
79	4407	1101
80	4466	1047
81	4524	993
82	4589	940
83	4647	885
84	4706	830
85	4768	776
86	4823	720
87	4883	665
88	4940	610
89	4995	555
90	5054	499
91	5108	444
92	5165	388
93	5221	333
94	5277	277
95	5331	222
96	5391	166
97	5457	111
98	5516	55
99	5574	0
