iter	Passed	Remaining
0	143	143441
1	145	72475
2	146	48695
3	147	36770
4	149	29665
5	150	24888
6	151	21487
7	152	18929
8	153	16939
9	155	15353
10	156	14069
11	157	12955
12	158	12069
13	160	11320
14	161	10625
15	162	10020
16	164	9490
17	165	9028
18	166	8611
19	168	8233
20	168	7876
21	169	7553
22	171	7284
23	172	7027
24	174	6791
25	175	6565
26	176	6365
27	177	6172
28	178	5988
29	180	5821
30	181	5659
31	182	5515
32	183	5378
33	184	5244
34	185	5115
35	186	4997
36	187	4886
37	188	4783
38	189	4680
39	190	4583
40	192	4491
41	193	4405
42	194	4324
43	195	4246
44	196	4172
45	197	4095
46	198	4022
47	199	3956
48	205	3980
49	206	3925
50	207	3866
51	208	3808
52	210	3756
53	211	3706
54	212	3653
55	213	3603
56	214	3552
57	215	3503
58	216	3459
59	218	3415
60	219	3372
61	220	3331
62	221	3290
63	222	3254
64	223	3220
65	225	3186
66	226	3150
67	227	3115
68	228	3081
69	229	3050
70	230	3020
71	232	2991
72	233	2958
73	234	2928
74	235	2899
75	236	2870
76	237	2843
77	238	2815
78	239	2788
79	240	2762
80	241	2738
81	242	2719
82	243	2690
83	244	2667
84	245	2645
85	246	2623
86	248	2602
87	249	2582
88	250	2560
89	251	2539
90	252	2520
91	253	2498
92	254	2478
93	255	2458
94	256	2439
95	257	2422
96	258	2405
97	259	2387
98	260	2370
99	261	2354
100	262	2337
101	263	2319
102	264	2303
103	265	2286
104	266	2271
105	267	2255
106	268	2240
107	269	2225
108	270	2209
109	271	2195
110	272	2180
111	273	2169
112	274	2157
113	275	2143
114	276	2130
115	278	2121
116	280	2114
117	281	2101
118	282	2092
119	283	2082
120	285	2072
121	286	2061
122	287	2050
123	289	2043
124	290	2035
125	292	2025
126	292	2013
127	294	2004
128	295	1993
129	296	1986
130	298	1979
131	299	1971
132	301	1962
133	302	1954
134	303	1946
135	305	1939
136	306	1933
137	308	1925
138	309	1917
139	310	1909
140	312	1901
141	313	1891
142	314	1882
143	315	1877
144	317	1871
145	319	1866
146	320	1861
147	323	1859
148	324	1852
149	325	1843
150	328	1846
151	330	1841
152	331	1835
153	332	1827
154	333	1819
155	335	1813
156	336	1806
157	337	1800
158	339	1794
159	340	1788
160	341	1778
161	343	1775
162	345	1771
163	346	1766
164	347	1760
165	349	1754
166	350	1747
167	351	1740
168	352	1734
169	354	1730
170	355	1725
171	357	1718
172	358	1712
173	359	1708
174	361	1703
175	362	1699
176	364	1694
177	366	1690
178	368	1690
179	369	1685
180	371	1679
181	372	1673
182	373	1668
183	375	1665
184	376	1660
185	378	1656
186	380	1652
187	381	1648
188	383	1645
189	385	1643
190	386	1637
191	387	1631
192	389	1627
193	390	1623
194	392	1621
195	394	1616
196	395	1612
197	397	1608
198	398	1604
199	399	1599
200	401	1594
201	401	1588
202	403	1584
203	405	1580
204	406	1577
205	408	1573
206	409	1569
207	411	1566
208	412	1562
209	413	1556
210	415	1553
211	416	1548
212	418	1545
213	420	1542
214	421	1539
215	423	1536
216	425	1533
217	426	1529
218	427	1525
219	428	1520
220	429	1515
221	431	1512
222	433	1508
223	434	1506
224	436	1503
225	437	1499
226	440	1499
227	441	1495
228	442	1491
229	444	1487
230	445	1484
231	447	1481
232	449	1478
233	450	1474
234	452	1471
235	454	1471
236	455	1467
237	457	1464
238	458	1460
239	459	1456
240	461	1451
241	462	1449
242	464	1446
243	465	1443
244	467	1439
245	468	1435
246	469	1431
247	471	1429
248	472	1426
249	474	1422
250	475	1418
251	477	1415
252	478	1412
253	479	1408
254	480	1404
255	482	1401
256	483	1398
257	484	1394
258	486	1391
259	488	1389
260	489	1386
261	490	1382
262	491	1378
263	494	1378
264	496	1375
265	497	1373
266	499	1370
267	500	1366
268	501	1363
269	503	1361
270	504	1358
271	506	1355
272	507	1351
273	509	1348
274	510	1346
275	512	1344
276	513	1341
277	515	1338
278	516	1335
279	518	1332
280	519	1329
281	520	1326
282	522	1323
283	524	1321
284	525	1318
285	526	1315
286	528	1312
287	529	1309
288	530	1305
289	532	1302
290	533	1299
291	535	1297
292	536	1295
293	538	1292
294	539	1289
295	541	1287
296	542	1284
297	543	1280
298	544	1277
299	546	1275
300	547	1271
301	549	1269
302	551	1267
303	552	1264
304	553	1261
305	555	1258
306	556	1256
307	558	1253
308	559	1251
309	560	1247
310	561	1244
311	563	1241
312	564	1239
313	566	1237
314	567	1233
315	568	1231
316	570	1228
317	571	1226
318	573	1223
319	574	1220
320	575	1218
321	577	1215
322	578	1213
323	580	1210
324	581	1207
325	582	1204
326	583	1201
327	585	1198
328	586	1196
329	588	1194
330	589	1191
331	591	1189
332	592	1187
333	594	1185
334	595	1182
335	596	1179
336	598	1176
337	598	1172
338	600	1171
339	602	1169
340	604	1168
341	605	1165
342	607	1163
343	609	1162
344	611	1160
345	612	1158
346	613	1155
347	615	1152
348	616	1150
349	618	1148
350	619	1146
351	621	1143
352	622	1141
353	624	1139
354	625	1137
355	627	1134
356	628	1131
357	629	1129
358	631	1126
359	632	1124
360	633	1121
361	635	1119
362	637	1118
363	639	1116
364	640	1114
365	641	1111
366	642	1108
367	644	1106
368	645	1104
369	647	1102
370	649	1101
371	651	1099
372	653	1098
373	654	1096
374	655	1093
375	656	1090
376	658	1087
377	660	1086
378	661	1083
379	662	1081
380	664	1079
381	665	1076
382	667	1074
383	668	1072
384	670	1070
385	671	1067
386	671	1064
387	673	1061
388	674	1058
389	675	1056
390	676	1054
391	678	1051
392	679	1048
393	680	1045
394	681	1043
395	682	1040
396	683	1037
397	684	1034
398	684	1031
399	685	1028
400	687	1026
401	688	1023
402	689	1021
403	691	1020
404	692	1017
405	696	1018
406	698	1017
407	699	1015
408	701	1013
409	702	1011
410	704	1009
411	707	1009
412	711	1011
413	716	1013
414	718	1012
415	720	1011
416	723	1011
417	725	1010
418	727	1008
419	729	1007
420	734	1010
421	737	1009
422	742	1012
423	745	1012
424	746	1009
425	749	1009
426	751	1008
427	754	1008
428	756	1007
429	760	1008
430	763	1007
431	765	1006
432	766	1004
433	768	1002
434	769	999
435	771	997
436	772	995
437	773	993
438	775	990
439	777	988
440	778	986
441	780	984
442	781	983
443	783	981
444	786	980
445	788	979
446	789	977
447	791	974
448	791	971
449	793	969
450	795	968
451	796	965
452	797	963
453	799	961
454	800	959
455	802	957
456	803	955
457	804	952
458	806	950
459	808	948
460	809	946
461	810	944
462	812	942
463	813	939
464	814	937
465	816	935
466	817	933
467	819	931
468	820	929
469	821	926
470	823	924
471	824	922
472	825	920
473	827	917
474	828	915
475	830	913
476	831	911
477	833	909
478	834	907
479	835	905
480	837	903
481	838	900
482	839	898
483	840	896
484	841	893
485	843	892
486	844	889
487	846	887
488	847	885
489	849	883
490	850	881
491	851	879
492	853	877
493	854	875
494	856	873
495	857	871
496	858	869
497	860	867
498	861	865
499	863	863
500	865	861
501	866	859
502	868	857
503	869	855
504	870	853
505	872	851
506	874	850
507	875	847
508	876	845
509	878	843
510	879	841
511	880	839
512	882	837
513	883	835
514	884	833
515	886	831
516	888	829
517	890	828
518	892	827
519	894	825
520	895	823
521	897	821
522	898	819
523	899	816
524	900	814
525	901	812
526	902	810
527	904	808
528	905	806
529	907	804
530	908	802
531	910	800
532	911	798
533	912	796
534	914	795
535	916	793
536	917	791
537	919	789
538	920	787
539	921	785
540	922	782
541	924	780
542	925	779
543	926	776
544	928	774
545	929	772
546	931	771
547	932	769
548	934	767
549	935	765
550	937	763
551	938	761
552	939	759
553	941	757
554	942	755
555	944	753
556	945	751
557	946	749
558	947	747
559	948	745
560	950	744
561	952	741
562	953	740
563	955	738
564	957	737
565	958	735
566	960	733
567	961	731
568	963	729
569	964	727
570	966	726
571	968	724
572	969	722
573	971	720
574	973	719
575	974	717
576	975	715
577	977	713
578	978	711
579	980	710
580	981	707
581	982	705
582	984	704
583	985	701
584	986	699
585	987	697
586	989	696
587	990	694
588	992	692
589	994	690
590	995	689
591	997	687
592	998	685
593	999	683
594	1001	681
595	1002	679
596	1004	677
597	1005	675
598	1007	674
599	1008	672
600	1010	670
601	1011	668
602	1012	666
603	1014	664
604	1015	662
605	1017	661
606	1018	659
607	1019	657
608	1021	655
609	1022	653
610	1024	652
611	1025	650
612	1026	648
613	1027	646
614	1028	644
